Molecule,mw,area,smiles,formula,Total electronic energy (eV),HOMO (eV),LUMO(ev),Chemical hardness,Dipole moment,Polarizability
2-Methoxy-4-vinylphenol,150.17,3.35,COC1=C(C=CC(=C1)C=C)O,C9H10O2,          -13566.39664 ,-6.7487,-0.4331,3.1578, 0.66062, 165.75413
2-ethyl-5-methyl-Phenol,136.19,2.8,CCC1=C(C=C(C=C1)C)O,C9H12O,          -11556.58569 ,-7.155,0.338,3.7465, 1.91104, 150.08605
2-ethylPhenol,122.16,0.45,CCC1=CC=CC=C1O,C8H10O,          -10488.51334 ,-7.3251,0.2814,3.8032, 2.46055, 131.36591
2-methoxy-4-1-propenyl-Phenol,164.2,2.11,CC=CC1=CC(=C(C=C1)O)OC,C10H12O2,          -14634.46434 ,-6.5478,-0.2001,3.1738, 1.55647, 183.91236
2-methoxyPhenol,124.14,2.27,COC1=CC=CC=C1O,C7H8O2,          -11464.11828 ,-7.0388,0.4352,3.7370, 3.59593, 120.37175
2-methyl-13-Benzenediol,124.14,2.08,CC1=C(C=CC=C1O)O,C7H8O2,          -11464.77998 ,-7.1838,0.5205,3.8521, 2.59935, 120.62487
2-methyl-14-Benzenedicarboxaldehyde,148.16,1.19,CC1=C(C=CC(=C1)C=O)C=O,C9H8O2,          -13534.00863 ,-8.3706,-2.1912,3.0897, 6.03565, 156.14997
2-methyl-6-2-propenyl-Phenol,148.2,0.87,CC1=C(C(=CC=C1)CC=C)O,C10H12O,          -12590.78079 ,-7.2529,0.3771,3.8150, 1.97140, 164.54240
2-methylPhenol,108.14,9.89,CC1=CC=CC=C1O,C7H8O,           -9420.64290 ,-7.2711,0.3475,3.8093, 1.49993, 115.26310
23-Dimethylhydroquinone,138.16,5.87,CC1=C(C=CC(=C1C)O)O,C8H10O2,          -12532.65215 ,-6.6811,0.2977,3.4894, 1.07725, 138.11420
23-dihydroBenzofuran,120.15,1.11,C1COC2=CC=CC=C21,C8H8O,          -10455.32003 ,-7.1137,0.1859,3.6498, 2.37100, 126.02447
236-trimethylPhenol,136.19,0.52,CC1=C(C(=C(C=C1)C)O)C,C9H12O,          -11556.66667 ,-7.0806,0.5164,3.7985, 2.49830, 150.85584
24-dimethylPhenol,122.16,5.16,CC1=CC(=C(C=C1)O)C,C8H10O,          -10488.65583 ,-7.0261,0.3417,3.6839, 1.38974, 133.10835
25-dimethylPhenol,122.16,1.06,CC1=CC(=C(C=C1)C)O,C8H10O,          -10488.66351 ,-7.172,0.4217,3.7969, 1.92771, 133.19258
26-dimethyl-14-Benzenediol,138.16,1.63,CC1=CC(=CC(=C1O)C)O,C8H10O2,          -12532.75277 ,-6.6719,0.3854,3.5286, 0.67705, 138.40705
26-dimethylPhenol,122.16,0.52,CC1=C(C(=CC=C1)C)O,C8H10O,          -10488.66542 ,-7.1804,0.479,3.8297, 2.07010, 132.95563
3-methylPhenol,108.14,4.11,CC1=CC(=CC=C1)O,C7H8O,           -9420.18587 ,-7.7331,0.2663,3.9997, 2.34923, 115.60516
34-dimethylPhenol,122.16,1.86,CC1=C(C=C(C=C1)O)C,C8H10O,          -10488.66315 ,-7.0655,0.3606,3.7130, 2.52177, 133.00321
345-trimethyl-Phenol,136.19,0.85,CC1=CC(=CC(=C1C)C)O,C9H12O,          -11556.65009 ,-6.9739,0.5073,3.7406, 2.22273, 151.06333
4-2-propenyl-Phenol,134.17,0.77,C=CCC1=CC=C(C=C1)O,C9H10O,          -11522.73329 ,-7.2309,0.2106,3.7208, 1.95618, 146.74537
4-Ethylcatechol,138.16,4.42,CCC1=CC(=C(C=C1)O)O,C8H10O2,          -12532.63351 ,-6.9323,0.4013,3.6668, 3.62607, 137.54531
4-ethyl-2-methoxyPhenol,152.19,2.6,CCC1=CC(=C(C=C1)O)OC,C9H12O2,          -13600.06653 ,-6.8638,0.4654,3.6646, 3.78909, 154.88860
4-ethylPhenol,122.16,3.53,CCC1=CC=C(C=C1)O,C8H10O,          -10487.91918 ,-7.5297,0.1093,3.8195, 1.89897, 146.74837
4-methyl-12-Benzenediol,124.14,9.42,CC1=CC(=C(C=C1)O)O,C7H8O2,          -11464.70652 ,-6.9342,0.3643,3.6492, 3.64941, 120.92899
5-methyl-2-Furancarboxaldehyde,110.11,0.71,CC1=CC=C(O1)C=O,C6H6O2,          -10395.83492 ,-7.6352,-1.2654,3.1849, 6.17032, 106.43791
Apocynin,166.17,1.14,CC(=O)C1=CC(=C(C=C1)O)OC,C9H10O3,          -15611.01086 ,-7.4796,-1.1428,3.1684, 6.53502, 149.47822
Catechol,110.11,3.29,C1=CC=C(C(=C1)O)O,C6H6O2,          -10396.55937 ,-7.3302,0.3367,3.8335, 1.37657, 102.81109
Furfural,96.08,2.12,C1=COC(=C1)C=O,C5H4O2,           -9327.64502 ,-8.0188,-1.3039,3.3575, 6.08534, 86.31669
Nonadecanoicacid,298.5,1.0,CCCCCCCCCCCCCCCCCCC(=O)O,C19H38O2,          -24378.97720 ,-9.13,0.8692,4.9996, 2.67930, 308.25722
Octadecanoicacid,284.5,0.79,CCCCCCCCCCCCCCCCCC(=O)O,C18H36O2,          -23311.13835 ,-9.2412,0.9681,5.1046, 2.30558, 292.05101
Palmitoleicacid,254.41,0.92,CCCCCCC=CCCCCCCCC(=O)O,C16H30O2,          -21141.67397 ,-7.7245,0.8984,4.3114, 2.78801, 263.09874
Pentacos-1-ene,350.7,0.82,CCCCCCCCCCCCCCCCCCCCCCCC=C,C25H50,          -26697.04394 ,-8.2317,0.95,4.5908, 0.74484, 401.65334
Pentadecanoicacid,242.4,1.44,CCCCCCCCCCCCCCC(=O)O,C15H30O2,          -20107.41681 ,-9.3179,1.0047,5.1613, 2.50978, 245.26024
Phenol,94.11,5.74,C1=CC=C(C=C1)O,C6H6O,           -8352.42076 ,-7.8948,0.1973,4.0461, 1.98381, 96.31435
cis-Vaccenicacid,282.5,2.98,CCCCCCC=CCCCCCCCCCC(=O)O,C18H34O2,          -23277.61685 ,-7.7414,0.9201,4.3308, 2.41219, 294.10870
p-Cumenol,136.19,0.88,CC(C)C1=CC=C(C=C1)O,C9H12O,          -11556.48652 ,-7.1669,0.2271,3.6970, 1.90583, 148.55085
